id,name,category,description,price_inr,image,alt,sizes,colors,featured,source_page,source_name,curation_notes
men-overshirt,Taupe Everyday Overshirt,Men's Clothing,A relaxed button-front overshirt with chest pockets. Wear it open over your everyday tee.,"₹1,364",/assets/images/imgmen2.webp,Model wearing a taupe overshirt over a white T-shirt,S|M|L|XL,Taupe,1,men.html,Premium Cotton Shirt,Name and color corrected from photograph; original price retained; no unverified fabric claim
men-classic-jeans,Classic Fit Blue Jeans,men,An easy straight-leg denim silhouette for everyday outfits. A versatile mid-blue wash.,"1,999.00",/assets/images/imgmen3.jpg,Seated model wearing blue straight-leg jeans and an olive sweatshirt,28|30|32|34,Blue,0,men.html,Slim Fit Jeans,Original image explicitly says classic fit; corrected name and retained price
men-graphic-tee,Botanical Graphic Tee, MEN ,A relaxed cream T-shirt with a bold botanical back print. Made for laid-back streetwear styling.,1287,/assets/images/imgmen4.webp,Back view of a cream T-shirt with a dark botanical graphic,S|M|L|XL,Cream,1,men.html,Graphic Print T-Shirt,Image color and back graphic described accurately; original price retained
men-formal-blazer,Navy Occasion Blazer,men,A sharp navy blazer with a classic lapel. Style it with tailored trousers for an occasion-ready look.,"₹5,199",/assets/images/imgmen5.webp,Model wearing a navy blazer over a white shirt,39|40|42|44,Navy,0,men.html,Formal Blazer,Original price and sizes retained; description limited to visible garment
men-forest-overshirt,Forest Green Overshirt,Men's Clothing,A deep green overshirt with a clean button front. An understated layer for your capsule wardrobe.,1499.00,/assets/images/imgmen1.webp,Forest green overshirt layered over a light T-shirt,S|M|L|XL,Forest green,1,Explore.html,Men’s Clothing,Category thumbnail curated as a product; illustrative demo price and sizes
men-lilac-hoodie,Soft Lilac Hoodie,men,A muted lilac pullover hoodie with a drawstring hood and front pocket. A casual layering staple.,1299.00,/assets/images/explore1.webp,Model wearing a muted lilac pullover hoodie,S|M|L|XL,Lilac,0,Explore.html,Oversized Hoodie Look,Existing editorial photo curated as a product; illustrative demo price and sizes
women-floral-dress,Floral Midi Dress,Women's Clothing,A colorful floral midi dress with a flowing skirt and three-quarter sleeves. An expressive everyday statement.,"₹1,599",/assets/images/women1.jpg,Model wearing a bright pink and orange floral midi dress,S|M|L|XL,Pink floral,1,women.html,Floral Summer Dress,Original price and sizes retained; actual print described
women-denim-jacket,Everyday Denim Jacket,women,A blue denim jacket with chest pockets and a button front. A versatile finishing layer for casual outfits.,"₹2,735",/assets/images/women2.webp,Model wearing a blue denim jacket over a white graphic T-shirt,XS|S|M|L,Blue,0,women.html,Distressed Denim Jacket,Removed unsupported distressed claim; original price and sizes retained
women-skinny-jeans,Blue Skinny Jeans,women,A close-fitting pair of blue jeans with a clean everyday finish. Pair with an oversized shirt or your favorite tee.,1899,/assets/images/women3.webp,Seated model wearing fitted blue jeans and pink sandals,26|28|30|32,Blue,0,women.html,High-Waist Skinny Jeans,Waist rise not visible so claim removed; original price and sizes retained
women-anarkali,Magenta Occasion Dress,women,A sweeping magenta ethnic-style dress with a contrasting pale drape. A colorful option for occasion styling.,3599.00,/assets/images/women4.webp,Model wearing a floor-length magenta dress with a pale pink drape,S|M|L|XL,Magenta,1,women.html,Ethnic Wear,Specific visual description replaces generic title; original price retained
