id,name,category,description,price_minor,image,alt,sizes,colors,featured
acc-floral-handbag,Embroidered Floral Handbag,accessories,A structured green occasion bag with a floral design and a round gold-tone handle.,69900,/assets/images/imgaccs2.webp,Green floral handbag with a rounded gold-tone handle,[],"[""Green""]",1
acc-graffiti-cap,Graffiti Print Cap,accessories,A curved-brim cap covered in bright graffiti-style artwork. A bold accent for everyday outfits.,29900,/assets/images/imgaccscap.jpg,Multicolor graffiti-print baseball cap,"[""One size""]","[""Multicolor""]",0
acc-peacock-earrings,Blue Peacock Earrings,accessories,A pair of statement peacock-shaped drop earrings with blue stones and gold-tone detailing.,41900,/assets/images/imgaccs3.webp,Pair of gold-tone peacock earrings with blue teardrop stones,[],"[""Blue and gold""]",0
acc-silver-necklace,Silver-Tone Leaf Necklace,accessories,A decorative silver-tone necklace with clustered leaf-shaped details. An accent for occasion outfits.,64900,/assets/images/explore8.webp,Silver-tone necklace with clustered leaf-shaped details,[],"[""Silver tone""]",0
foot-colorblock-sneakers,Colorblock Everyday Sneakers,footwear,Retro-inspired low-top sneakers in orange and green with a contrasting chunky sole.,105800,/assets/images/footwear2.webp,Pair of orange green and cream low-top sneakers,"[""UK 6"",""UK 7"",""UK 8"",""UK 9"",""UK 10"",""UK 11""]","[""Orange and green""]",1
foot-embellished-heels,Embellished Occasion Heels,footwear,Strappy occasion sandals with decorative sparkling details and a slender heel.,54900,/assets/images/imgaccs4.jpg,Model wearing embellished strappy high-heel sandals,"[""UK 5"",""UK 6"",""UK 7"",""UK 8""]","[""Champagne""]",0
foot-formal-shoes,Brown Formal Lace-Ups,footwear,Polished-looking brown lace-up shoes with panel detailing. A classic complement to tailored outfits.,169900,/assets/images/footwear4.webp,Pair of brown formal lace-up shoes displayed on blue blocks,"[""UK 6"",""UK 7"",""UK 8"",""UK 9"",""UK 10""]","[""Brown""]",0
foot-grey-sneakers,Grey Panel Sneakers,footwear,A pair of grey low-top sneakers with layered panels and a contrasting white sole.,139900,/assets/images/footwear1.webp,Pair of grey and black low-top sneakers with white soles,"[""UK 6"",""UK 7"",""UK 8"",""UK 9"",""UK 10""]","[""Grey""]",0
foot-high-top-sneakers,Black & White High-Tops,footwear,A pair of lace-up high-top sneakers with contrasting black and white panels.,69900,/assets/images/footwear3.webp,Pair of black and white high-top sneakers with white laces,"[""UK 6"",""UK 7"",""UK 8"",""UK 9"",""UK 10""]","[""Black and white""]",0
kids-baby-set,Pink Baby Outfit,kids,A pale pink long-sleeve baby outfit with a small character illustration. A coordinated look for little ones.,119900,/assets/images/imgkids2.jpg,Baby wearing a pale pink long-sleeve outfit,"[""0-6M"",""6-12M"",""12-24M""]","[""Pink""]",0
kids-cartoon-tee,Blue Character Tee,kids,A cheerful blue short-sleeve tee with a colorful cartoon graphic on the front.,27400,/assets/images/imgkids3.webp,Blue short-sleeve children's T-shirt with a Mickey Mouse graphic,"[""4-5Y"",""6-7Y"",""8-9Y""]","[""Blue""]",1
kids-denim-jacket,Kids Dark Denim Jacket,kids,A dark blue button-front jacket with chest pockets. A playful finishing layer for a casual outfit.,129900,/assets/images/imgkids4.webp,Child wearing a dark blue denim jacket over a black top,"[""4-5Y"",""6-7Y"",""8-9Y""]","[""Navy""]",0
kids-party-dress,Pink Party Dress,kids,A full-skirt pink party dress with floral decoration and a ribbon-style waist detail.,89900,/assets/images/imgkids5.webp,Child wearing a full-skirt pink party dress with floral decoration,"[""4-5Y"",""6-7Y"",""8-9Y""]","[""Pink""]",1
kids-striped-set,Sage Striped Co-ord,kids,A matching sage-striped top and trouser set with ruffled straps and an easy summer silhouette.,79900,/assets/images/imgkids1.webp,Sage green striped children's crop top and matching trousers laid flat,"[""4-5Y"",""6-7Y"",""8-9Y""]","[""Sage""]",0
men-classic-jeans,Classic Fit Blue Jeans,men,An easy straight-leg denim silhouette for everyday outfits. A versatile mid-blue wash.,199900,/assets/images/imgmen3.jpg,Seated model wearing blue straight-leg jeans and an olive sweatshirt,"[""28"",""30"",""32"",""34""]","[""Blue""]",0
